Дата эксперимента: 29.10.2023 19:00:49
time;Accel_x;Accel_y;Accel_z;Gyro_x;Gyro_y;Gyro_z;Temperature
4.199;1.0132;-0.0254;0.1948;-4.2214;0.9389;-0.6183;30.6947;
4.221;1.0198;-0.0212;0.2056;-4.1069;1.0458;-0.8931;30.6947;
4.241;1.0200;-0.0234;0.1942;-4.2366;0.9160;-0.9008;30.6006;
4.262;1.0237;-0.0183;0.2042;-4.2824;1.0611;-0.9160;30.6947;
4.283;1.0208;-0.0146;0.2006;-4.1908;1.0305;-0.8397;30.6947;
4.304;1.0193;-0.0159;0.1942;-4.0992;0.9542;-0.9847;30.7888;
4.326;1.0164;-0.0220;0.1975;-4.3053;1.0382;-0.8779;30.6947;
4.346;1.0154;-0.0212;0.2022;-4.2901;1.0000;-0.9008;30.6947;
4.368;1.0264;-0.0193;0.2089;-4.0992;1.0534;-0.7328;30.6947;
4.389;1.0164;-0.0183;0.1931;-4.3130;0.8855;-0.9084;30.6947;
4.410;1.0183;-0.0229;0.1995;-4.1069;1.0076;-0.9771;30.7888;
4.430;1.0125;-0.0154;0.2003;-3.9847;0.9084;-0.8092;30.6947;
4.451;1.0215;-0.0222;0.2031;-4.0153;1.1908;-0.8626;30.6947;
4.472;1.0203;-0.0156;0.2028;-4.2366;0.8473;-0.9389;30.7888;
4.493;1.0212;-0.0195;0.1911;-4.5191;1.0153;-0.7557;30.7888;
4.514;1.0129;-0.0186;0.2064;-4.2366;1.1374;-0.8702;30.6947;
4.535;1.0164;-0.0178;0.1939;-4.1527;0.9924;-0.9389;30.7888;
4.556;1.0212;-0.0215;0.2036;-4.3053;1.1374;-0.8015;30.7888;
4.577;1.0181;-0.0239;0.2009;-4.2443;1.0763;-0.7634;30.6947;
4.598;1.0183;-0.0195;0.1986;-4.3130;0.9313;-0.8626;30.6947;
4.619;1.0186;-0.0186;0.2086;-4.0992;1.0076;-0.9466;30.6006;
4.640;1.0161;-0.0225;0.1998;-4.1985;1.0076;-0.6870;30.6006;
4.661;1.0190;-0.0293;0.1961;-4.3664;0.9313;-0.8015;30.6947;
4.682;1.0176;-0.0203;0.2047;-4.1298;0.8702;-0.8397;30.6947;
4.704;1.0195;-0.0227;0.2059;-4.1985;0.8397;-0.7405;30.6947;
4.724;1.0195;-0.0217;0.1978;-4.0992;1.0076;-0.8626;30.6947;
4.746;1.0190;-0.0176;0.1989;-4.2290;1.1069;-0.9237;30.6947;
