Дата эксперимента: 31.10.2023 21:20:26
time;Accel_x;Accel_y;Accel_z;Gyro_x;Gyro_y;Gyro_z;Temperature
3.305;1.0093;-0.0076;0.2763;-4.0458;1.1221;-0.9008;30.0359;
3.326;1.0073;-0.0034;0.2799;-4.1069;0.9008;-0.7557;29.9418;
3.348;1.0107;-0.0127;0.2855;-4.0534;1.0305;-0.8626;29.9418;
3.369;1.0088;-0.0073;0.2677;-4.0382;0.8550;-0.7023;29.9418;
3.390;1.0044;-0.0076;0.2669;-4.0611;1.0076;-0.8855;30.0359;
3.410;1.0120;-0.0046;0.2713;-4.4046;1.1756;-0.8092;30.0359;
3.431;1.0098;-0.0068;0.2772;-4.2595;1.0534;-0.8397;30.0359;
3.452;1.0071;-0.0046;0.2788;-4.2061;0.8397;-0.8855;30.0359;
3.473;1.0105;-0.0024;0.2769;-4.2137;0.9847;-0.6718;29.9418;
3.494;1.0059;-0.0049;0.2794;-4.1756;1.0000;-0.6718;30.0359;
3.515;1.0127;-0.0051;0.2766;-4.1374;0.9924;-0.9389;30.0359;
3.537;1.0139;0.0015;0.2772;-4.1221;1.0000;-1.0229;30.0359;
3.558;1.0107;-0.0068;0.2797;-4.0992;1.0305;-0.7405;29.9418;
3.579;1.0176;-0.0112;0.2780;-4.0000;1.0916;-0.9313;29.9418;
3.600;1.0071;-0.0022;0.2755;-4.0534;0.9695;-0.9237;30.0359;
3.621;1.0093;-0.0083;0.2830;-4.0840;0.9466;-0.9389;29.9418;
3.642;1.0088;-0.0034;0.2711;-4.0382;1.0992;-0.7710;30.1300;
3.663;1.0125;-0.0068;0.2883;-4.0916;0.9695;-0.8931;29.9418;
3.684;1.0103;-0.0007;0.2791;-4.2366;0.7023;-0.8626;29.9418;
3.704;1.0142;-0.0117;0.2716;-4.3206;1.2214;-0.6336;30.0359;
3.725;1.0105;-0.0051;0.2880;-4.1908;0.9466;-0.9237;29.9418;
3.746;1.0107;-0.0071;0.2702;-4.2672;0.9542;-0.9313;30.0359;
3.767;1.0103;-0.0029;0.2830;-4.0687;1.1679;-0.7557;30.0359;
3.788;1.0081;-0.0027;0.2797;-4.0840;1.0229;-0.8473;30.0359;
3.810;1.0071;-0.0046;0.2830;-4.2977;1.1679;-0.9771;29.9418;
3.831;1.0093;-0.0071;0.2727;-4.0534;0.8626;-0.7863;29.9418;
3.852;1.0107;-0.0044;0.2658;-4.0916;1.1374;-0.8779;30.0359;
3.872;1.0149;-0.0059;0.2891;-3.9237;1.0916;-0.8321;30.1300;
3.893;1.0061;0.0024;0.2697;-4.1374;0.9618;-0.8702;30.0359;
3.914;1.0127;0.0010;0.2799;-4.1832;1.0687;-0.8626;29.9418;
3.935;1.0120;-0.0010;0.2797;-4.3588;1.0840;-0.8626;29.9418;
3.956;1.0103;-0.0042;0.2688;-4.1221;1.0840;-1.1298;29.9418;
3.977;1.0129;-0.0039;0.2749;-4.0916;1.1450;-0.9389;30.0359;
3.999;1.0120;-0.0054;0.2858;-4.2519;1.0458;-0.8626;30.0359;
4.020;1.0103;-0.0068;0.2722;-4.0763;1.1679;-0.7557;30.0359;
4.041;1.0115;-0.0044;0.2686;-4.1679;0.9466;-0.9313;29.9418;
4.061;1.0117;-0.0029;0.2735;-4.1450;0.8397;-0.9084;29.9418;
4.082;1.0095;-0.0002;0.2741;-4.1374;1.0534;-0.9924;29.9418;
4.103;1.0098;-0.0002;0.2774;-3.9008;0.9924;-0.7939;30.0359;
4.124;1.0110;-0.0002;0.2813;-4.1679;1.0611;-1.0611;30.0359;
4.145;1.0117;0.0005;0.2760;-3.9847;1.1450;-0.7405;30.0359;
4.166;1.0032;-0.0044;0.2713;-4.1985;0.9542;-0.8855;30.0359;
4.189;1.0054;-0.0034;0.2724;-4.1298;0.9237;-0.9847;29.9418;
4.209;1.0088;-0.0054;0.2830;-4.3511;1.0000;-0.8931;30.0359;
4.229;1.0098;-0.0039;0.2874;-4.1069;1.1374;-0.8168;30.0359;
